spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
6.300355,19.93243,36.23456,45.74332,51.8409,STAR,F9
7.091973,24.56856,43.67003,54.25425,61.92787,STAR,F9
2.018846,4.678792,8.948977,10.95237,13.45566,STAR,K1
6.701475,21.05505,37.71662,46.12712,51.35447,STAR,F9
4.470691,13.74777,24.15003,29.99228,36.3889,STAR,F9
5.303854,14.33618,26.63839,34.47941,42.20943,STAR,F9
7.798434,25.05569,45.89447,58.29509,67.15102,STAR,F9
5.769646,20.28486,38.78632,49.92258,58.41557,STAR,F9
3.66869,12.23939,22.44216,29.38516,34.65966,STAR,F9
4.633891,14.52266,26.8789,33.88229,38.62843,STAR,F9
11.21163,28.76711,51.90269,65.72801,75.73746,STAR,F9
3.985081,14.68698,27.86532,35.63422,40.40353,STAR,F9
6.412522,23.09275,43.96394,55.94798,63.05954,STAR,F9
6.833588,20.76341,38.30133,48.53555,55.04963,STAR,F9
5.742917,13.85592,24.42396,31.01208,36.5447,STAR,F9
11.31067,30.5627,54.92795,69.40588,79.77129,STAR,F9
7.816978,20.54818,36.5639,46.18537,52.74533,STAR,F9
1.002723,4.195846,8.125555,10.87194,13.51776,STAR,F9
10.7192,31.47764,57.68959,73.61288,84.25952,STAR,F9
4.86666,14.61309,26.42595,32.33084,34.54783,STAR,F9
9.971998,27.15407,48.94984,60.95013,66.63162,STAR,F9
1.597953,4.032698,7.331474,8.68894,9.680409,STAR,F9
2.819072,7.787265,14.58336,18.33588,20.23694,STAR,F9
3.456571,7.366397,14.23606,18.59929,19.40687,STAR,F9
2.736356,6.828223,12.48102,15.46204,16.31916,STAR,F9
1.764469,5.123778,10.62704,13.56678,14.43088,STAR,K1
1.657945,4.315076,7.729351,9.682805,9.790158,STAR,F9
1.683897,5.867404,11.52214,14.6933,16.77244,STAR,K1
2.445348,6.110325,10.91176,13.7118,15.94141,STAR,K1
2.753065,10.62634,20.10885,25.04143,28.21417,STAR,K1
2.296769,5.934112,11.09914,13.91527,14.75478,STAR,K1
1.537561,4.495787,8.194959,10.6957,12.57658,STAR,F9
1.851581,5.922074,11.68062,15.35796,17.11685,STAR,F9
3.07074,10.33311,18.8474,23.65207,25.25439,STAR,F9
2.227529,6.36761,10.84344,13.47976,14.66391,STAR,F9
3.744793,7.342249,13.25031,17.53105,20.56293,STAR,F5
3.754611,12.85823,24.31524,30.97724,34.66412,STAR,K1
4.782518,13.1429,23.57451,29.29162,31.43299,STAR,F9
1.839351,6.593256,11.73938,14.68219,16.02219,STAR,F9
3.258759,9.208427,15.84177,19.17898,20.49414,STAR,F9
4.681791,11.09539,19.93536,24.95922,27.48731,STAR,F9
7.864401,18.3578,35.33798,46.77011,56.17899,STAR,F9
6.508012,19.97743,41.23515,55.83673,67.61995,STAR,F9
2.686665,4.600296,9.856334,13.51077,16.47157,STAR,K1
2.959027,5.439041,11.03547,14.66572,17.94197,STAR,F9
2.525473,4.081311,8.593613,11.76891,14.91749,STAR,L9
3.077747,4.932751,9.386024,11.98968,13.37884,STAR,G2
6.630188,20.3541,39.99875,51.60547,57.02059,STAR,K1
8.672371,22.60547,44.69455,59.15297,69.66499,STAR,F9
4.406129,12.16798,26.53706,35.6496,42.78711,STAR,K1
0.9442222,3.693528,8.22239,11.60969,14.46466,STAR,K1
3.036756,6.119023,11.53769,14.47006,16.92481,STAR,F9
3.996531,8.756009,15.25606,18.56535,21.60216,STAR,F9
2.20068,5.51977,11.92154,16.18023,19.75432,STAR,K1
6.433408,19.8375,38.58036,48.94569,56.22906,STAR,F9
4.027367,12.40499,23.87157,30.58223,35.82088,STAR,F9
1.770599,4.339977,7.635554,9.657147,10.77596,STAR,F9
5.597832,15.26279,28.83761,37.81815,44.34039,STAR,F9
3.182237,9.82562,19.01832,24.04277,27.88355,STAR,F9
4.642933,15.52116,30.6274,38.89267,44.85634,STAR,K1
1.520328,4.218727,7.937529,10.33523,12.79783,STAR,F9
6.037052,17.53354,30.91476,38.15688,42.99392,STAR,F9
4.424329,15.43279,28.6303,35.45257,39.55442,STAR,F9
1.850499,5.628808,10.93746,13.76722,16.00813,STAR,F9
2.440893,9.117809,17.34194,21.72601,24.37194,STAR,K1
4.079515,12.0994,23.28804,30.1754,34.98997,STAR,F9
5.970676,19.48151,37.76088,47.63916,54.61157,STAR,K1
1.239488,3.417622,6.713376,8.405479,8.785793,STAR,F9
1.29234,4.645589,9.453204,12.39469,14.79462,STAR,F9
2.989139,6.718625,12.38672,15.78542,17.96035,STAR,F9
5.645125,13.36149,24.51288,31.41282,36.12514,STAR,F9
2.386199,5.431942,10.01909,12.76487,14.36563,STAR,F9
1.287565,4.5085,9.156155,11.75354,12.61013,STAR,F9
-0.485185,0.8100242,4.869022,36.12223,98.00352,STAR,M6
