class,subclass,mag_u,mag_g,mag_r,mag_i,mag_z,redshift,flux_u,flux_g,flux_r,flux_i,flux_z,photRA,specRA,photDec,specDec,petrosianRadius_u,deVEffectiveRadius_u,petrosianRadius_z,deVEffectiveRadius_z
GALAXY,STARBURST,22.25414,21.96285,21.68923,21.85374,21.10225,0.02705832,3.011971,4.852997,6.836778,8.111023,10.70731,256.6190736,256.61907,38.36985784,38.369858,1.251685,0.0636275,1.386704,0.4019952
GALAXY,STARBURST,21.74596,21.47606,21.341,21.02271,20.60278,0.4025487,2.154086,2.014263,2.497739,3.043891,3.983329,256.5387209,256.53872,38.27772733,38.277727,1.75061,1.154384,0.9412847,0.07868335
QSO,BROADLINE,21.47428,20.89476,20.74639,20.27577,19.9804,1.735725,4.089479,5.366878,6.740931,9.052708,10.33221,251.8704245,251.87042,38.96659002,38.96659,1.48386,0.2951513,1.239443,0.1241079
QSO,BROADLINE,23.65613,20.54801,19.71161,19.53513,19.33492,3.46069,2.508861,5.748306,13.53252,16.39861,18.81031,240.1828989,240.18293,51.74020905,51.7403,0.6814331,2.912408,1.51636,0.2053713
GALAXY,STARBURST,23.00747,21.57233,21.85784,21.72711,22.17783,0.05806096,3.375415,4.230099,5.272907,6.590788,6.522329,240.4307414,240.43079,51.79796652,51.79805,1.470814,0.3661004,1.044839,0.2959358
QSO,BROADLINE,20.01712,19.36622,19.13567,19.05913,18.81347,2.539076,7.273121,11.50969,14.96649,16.00431,19.61236,240.4605674,240.46062,51.76150948,51.761597,1.29886,0.1220893,1.122793,0.07869235
QSO,BROADLINE,22.01718,21.11143,21.14155,21.12485,21.08305,2.276394,0.811381,1.866762,2.015603,2.069904,2.268094,240.5544433,240.5545,51.62571037,51.625796,1.355257,0.000471656,2.078018,0.1640584
GALAXY,STARBURST,19.92517,19.11247,19.87473,19.29878,19.55221,0.05351396,6.038924,10.69998,7.58756,10.63185,8.545582,240.2173809,240.21737,52.43713296,52.4372,7.499236,0.1889382,3.260066,1.098755
QSO,STARBURST BROADLINE,20.04748,19.38722,18.9277,18.64674,18.6034,0.2231196,8.129692,14.45268,24.50419,32.48302,34.31968,240.4686642,240.46866,52.45013832,52.450197,1.351473,0.1304879,1.412368,0.2191862
QSO,BROADLINE,20.96836,19.93189,19.81526,19.95954,19.65411,2.7726,6.789838,11.73983,14.63475,13.55202,15.6764,240.4214159,240.42141,52.40810731,52.408165,4.338964,0.2263937,1.172963,0.000333068
QSO,BROADLINE,22.43198,21.11003,21.06211,21.05657,20.70222,2.570387,4.364167,6.54776,7.914673,7.803691,8.240123,240.5077485,240.50776,52.39059267,52.390653,2.318248,0.5212849,1.174223,0.2143808
QSO,BROADLINE,24.48823,21.81598,21.68959,22.08624,22.20065,2.894545,-0.9797189,1.109673,1.252926,0.9336348,0.3672263,240.3683512,240.36838,52.22347329,52.223517,0.7750277,0.02713415,1.020082,0.1894315
GALAXY,STARFORMING,20.42085,18.65296,17.65467,17.18947,16.8335,0.1576475,3.323767,9.580979,29.14804,48.74971,65.17134,154.087729,154.08775,3.87792031,3.8779179,6.326392,6.446324,5.002613,5.692144
GALAXY,STARFORMING,19.12577,18.06182,17.45692,17.11828,16.92015,0.161354,8.78099,14.72745,27.33827,38.82074,47.70056,154.2448397,154.24485,4.043001369,4.0429988,6.530484,8.357676,5.709963,5.530763
GALAXY,STARFORMING,18.58193,16.98601,16.19741,15.75896,15.4357,0.0367621,11.23097,36.0283,84.03942,128.0125,170.8626,165.8254877,165.8255,4.893318533,4.8933217,7.929954,15.35922,6.420246,7.940292
GALAXY,STARFORMING,19.26843,18.10083,17.5956,17.32502,17.12878,0.02896805,5.691449,11.69354,21.40874,27.54885,30.69981,165.6036995,165.60371,5.193937204,5.1939298,11.26204,11.12133,5.543836,7.04188
GALAXY,STARBURST,19.46302,18.41708,17.8199,17.46747,17.22193,0.1324217,9.109894,20.59887,34.63905,47.73855,57.82966,165.6513109,165.65132,5.23152908,5.2315294,9.61493,1.7966,4.876441,3.447152
GALAXY,STARFORMING,20.41714,18.59177,17.57291,17.13088,16.75938,0.1525137,5.906144,14.7653,39.47608,60.7981,80.41811,166.2185179,166.21853,5.288279991,5.2882931,11.30936,5.17038,3.925632,2.292436
GALAXY,STARFORMING,18.85182,17.46872,16.66574,16.27314,15.98899,0.1275833,8.495007,19.57391,45.22146,68.49502,89.71734,166.2893255,166.28933,5.359974247,5.3599535,8.398444,13.4816,7.285296,6.998033
QSO,BROADLINE,18.66612,18.53794,18.5112,18.57384,17.92672,0.3459219,58.21674,47.72947,44.98318,41.79177,75.21375,166.4427037,166.44272,5.336598276,5.3365886,1.867939,0.1680587,2.19047,0.3736332
GALAXY,AGN,19.62126,18.02646,17.21203,16.78569,16.48594,0.09122294,13.08393,37.3722,82.43896,124.0771,156.1343,166.3737276,166.37376,5.280361629,5.2803424,3.653994,2.215972,3.074229,1.940283
QSO,AGN,20.11088,18.30293,17.3132,16.80562,16.46997,0.1021888,7.071934,24.48813,65.08286,105.2758,138.7275,166.4776322,166.47764,5.227618961,5.2276058,4.473579,4.704044,15.95199,2.091375
GALAXY,STARFORMING,18.9791,17.80444,17.08237,16.68938,16.44901,0.1533386,6.013604,10.86128,24.99932,38.60809,49.15896,166.5539894,166.554,5.221847565,5.2218442,9.335305,18.6335,7.83692,8.113592
GALAXY,STARFORMING,19.90506,18.47496,17.76056,17.37568,17.11157,0.07168444,11.84912,25.89969,51.91996,73.85229,90.90864,166.5862546,166.58626,5.238204211,5.2382074,3.844109,1.204142,2.561678,1.210205
GALAXY,STARBURST,19.99403,19.23269,18.82064,18.40628,18.22322,0.09131432,9.928205,13.52376,21.61035,29.74171,30.36837,166.2307719,166.23079,5.688347295,5.688332,2.420017,0.6007135,3.161747,1.553615
QSO,STARBURST BROADLINE,18.37304,17.96843,17.53664,17.17248,17.125,0.2150977,38.54886,41.59336,59.1939,79.22208,81.66545,166.4372409,166.43725,5.627257583,5.6272556,2.339154,0.3588706,2.97742,1.334635
GALAXY,STARFORMING,17.85635,16.92089,16.53348,16.35632,16.30857,0.02034031,9.528775,12.57446,18.1163,20.97936,21.51399,166.5018866,166.50189,5.780673619,5.7806671,17.05299,29.67505,14.39008,24.62376
GALAXY,STARFORMING,19.54616,18.00622,17.27943,16.88453,16.62431,0.05963952,7.426169,16.51892,33.64602,49.98154,61.49019,166.5464463,166.54645,5.7258358,5.7258299,43.76552,9.163517,6.118516,7.27619
