u,g,r,i,z,class,subclass
20.76323,20.28842,20.69263,20.71853,21.59818,STAR,WD
19.53196,19.4501,19.78614,20.04923,20.08028,STAR,WD
19.96296,19.96664,20.41613,20.70781,20.84231,STAR,B6
19.64589,19.31979,19.64006,19.94794,20.06213,STAR,WD
20.73695,19.72197,19.29648,19.1888,19.08861,STAR,G2
15.54302,15.76788,16.24923,16.59629,16.91512,STAR,B9
19.5233,19.32414,19.61238,19.93795,20.09447,STAR,WD
17.90918,17.46763,17.65164,17.84494,18.06219,STAR,WD
20.57192,20.25163,20.53751,20.74994,20.86216,STAR,WD
19.55915,19.28432,19.51296,19.80108,20.09165,STAR,WD
19.03984,18.55287,18.38021,18.35914,18.3376,STAR,CV
19.53239,19.1817,19.42894,19.6436,19.90689,STAR,WD
18.83224,18.35888,18.25309,18.2487,18.35836,STAR,CV
18.70077,18.76965,19.04243,19.34285,19.51875,STAR,OB
19.38137,19.09121,19.34284,19.60066,19.81974,STAR,WD
19.36495,19.65287,20.04503,20.32945,21.03706,STAR,WD
16.00378,16.12705,16.35228,16.47993,16.60554,STAR,B6
16.36967,16.01221,16.28587,16.51581,16.7581,STAR,WD
18.8399,18.75059,19.0826,19.32795,19.62883,STAR,WD
19.84649,19.43368,19.602,19.79364,20.03896,STAR,WD
19.18594,18.82962,19.08169,19.30897,19.49842,STAR,WD
20.78657,20.30362,20.36075,19.75991,19.23577,STAR,M4
19.67226,18.7457,18.50356,18.43414,18.4472,STAR,A0
18.9234,18.5536,18.82006,19.05478,19.33689,STAR,WD
16.58157,16.20023,16.40016,16.59932,16.81253,STAR,WD
18.70056,18.74688,18.96884,19.17357,19.50085,STAR,OB
17.94889,17.54173,17.66239,17.82916,17.99046,STAR,WD
21.65206,20.15442,19.67631,19.51414,19.32765,STAR,A0
20.13289,20.2228,20.51955,20.73327,21.1233,STAR,O
20.16973,19.97591,20.19828,20.3648,20.89432,STAR,WD
17.46096,17.56039,17.8813,18.13444,18.43693,STAR,WD
19.00447,16.90179,16.03549,15.72014,15.56266,STAR,K3
20.12469,19.85714,20.05575,20.20252,20.32398,STAR,WD
21.98151,19.98584,19.13213,18.72828,18.455,STAR,G5
20.0571,19.76935,20.0134,20.24794,19.9865,STAR,WD
18.43616,18.49396,18.80564,19.00003,19.19716,STAR,OB
19.14802,19.16732,19.58024,19.89753,20.26293,STAR,WD
18.63701,18.91726,19.38096,19.68969,20.04678,STAR,OB
19.00181,18.60263,18.89672,19.14242,19.45259,STAR,WD
18.57859,18.85113,19.27185,19.62136,19.99177,STAR,WD
21.49808,18.62157,16.7845,15.95027,15.47357,STAR,M0V
19.59265,19.42957,19.76434,20.08007,20.23377,STAR,WD
18.96294,19.15099,19.59561,19.82507,19.84776,STAR,WD
18.85306,18.89433,19.17555,19.39457,19.68915,STAR,OB
19.6022,19.38505,19.65283,19.96391,20.27549,STAR,WD
19.53893,19.21125,19.4709,19.65407,19.97716,STAR,WD
19.4559,19.13711,19.16313,19.19179,19.38745,STAR,WD
19.6608,19.19642,19.10465,19.09075,19.16624,STAR,CV
19.03613,18.6811,18.83379,19.00528,19.27183,STAR,WD
18.49815,18.58669,18.91924,19.17013,19.5092,STAR,OB
19.78301,19.8758,20.19146,20.11604,19.71808,STAR,WD
19.25139,19.33363,19.76332,19.96181,19.99751,STAR,WD
17.43102,17.59525,18.01602,18.27425,18.37752,STAR,WD
17.36529,17.03739,17.15037,17.26632,17.45251,STAR,WD
17.3212,17.0563,17.38108,17.62778,17.87371,STAR,WD
20.27958,19.90421,20.15534,20.40727,20.55606,STAR,WD
20.07881,20.15397,20.48035,20.724,20.98999,STAR,OB
19.25904,18.8485,18.95264,19.11106,19.36331,STAR,WD
21.1038,19.87592,19.48884,19.45943,19.52497,STAR,F5
19.70907,19.15084,18.8908,18.84324,18.8009,STAR,CV
19.86024,19.49968,19.42355,19.45501,19.52825,STAR,CV
19.32964,19.35028,19.69792,19.98875,20.21958,STAR,WD
18.23711,18.52831,19.03077,19.36996,19.73551,STAR,WD
21.09542,19.61404,19.05611,18.85756,18.74345,STAR,F9
18.68391,18.88434,19.37831,19.66672,20.03878,STAR,B9
17.26294,17.28961,17.59495,17.83613,18.11821,STAR,OB
19.43871,19.27835,19.64499,19.94824,20.19549,STAR,WD
19.80224,20.1669,20.61429,20.91468,21.38914,STAR,WD
20.29345,20.30027,20.69631,20.9115,21.31106,STAR,WD
18.25241,18.12308,18.38074,18.66458,18.88445,STAR,WD
16.31127,16.57751,16.87904,17.14943,17.40229,STAR,O
16.16361,16.41641,16.74773,17.03125,17.31027,STAR,B9
20.66467,20.17162,20.28374,20.51523,20.70086,STAR,WD
20.28827,20.17074,20.30307,20.41625,20.519,STAR,OB
17.10421,17.06716,17.29877,17.44452,17.65221,STAR,WDmagnetic
14.94093,15.02926,15.43494,15.73725,16.02241,STAR,B6
19.55055,19.62178,19.9965,20.28385,20.63824,STAR,WD
20.58193,20.36273,20.69087,20.90559,21.46114,STAR,WD
20.32295,20.34065,20.50301,20.62131,20.85409,STAR,OB
19.55824,19.77825,20.12895,20.52231,20.8301,STAR,WD
20.77155,20.38918,20.59479,20.85575,20.85898,STAR,WD
19.99963,19.64175,19.9286,20.15495,20.43096,STAR,WD
17.32185,17.01674,17.22364,17.45651,17.72568,STAR,WD
18.47758,18.02648,18.02717,18.13652,18.30335,STAR,WD
19.7535,19.4091,19.3748,19.46971,19.66666,STAR,WD
20.23907,19.93957,20.1518,20.45283,20.91987,STAR,WD
20.46091,20.10844,20.32612,20.47006,21.13789,STAR,WD
15.23208,15.55459,16.01454,16.35339,16.65512,STAR,B9
16.4102,16.4529,16.74528,16.96952,17.20065,STAR,OB
17.91354,17.98984,18.31113,18.66378,18.98155,STAR,WD
17.46972,16.98423,16.9802,17.04833,17.19947,STAR,WD
18.88236,18.93232,18.57484,19.24584,18.66054,STAR,F5
18.62311,18.24466,18.48795,18.70751,19.02837,STAR,WD
19.53044,19.53005,19.82418,20.08155,20.71729,STAR,WD
17.82427,17.93445,18.30602,18.61036,18.84525,STAR,OB
18.68428,18.9546,19.41251,19.71072,20.04603,STAR,OB
19.89285,19.45225,19.71482,19.91978,20.1594,STAR,WD
17.6387,17.81512,18.32358,18.67126,18.95967,STAR,A0p
19.71364,19.79613,20.15602,20.55881,20.56047,STAR,WD
19.69426,19.3287,19.51544,19.72684,20.12723,STAR,WD
20.6915,20.17993,20.4584,20.75319,20.82598,STAR,WD
19.45294,19.49788,19.8288,20.05437,20.56772,STAR,OB
19.97468,19.65055,19.89139,20.05141,20.48464,STAR,WD
19.93684,19.7663,20.01516,20.21711,20.75943,STAR,WD
18.56455,18.10194,18.28947,18.46793,18.75118,STAR,WD
19.36434,19.29373,19.52272,19.8267,20.17032,STAR,WD
