spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z,class,subclass
14.43476,15.78959,11.48125,9.002771,6.874183,STAR,WD
6.311789,7.911023,6.560731,7.721829,10.92703,STAR,T2
9.042947,13.3856,10.48196,7.940929,6.998567,STAR,WD
10.85464,8.268803,4.896263,3.08775,2.566243,STAR,B9
16.9764,17.53729,12.61212,9.527059,8.122491,STAR,WD
10.82913,108.1742,311.9857,430.2543,505.3241,STAR,K5
16.55769,14.38712,9.045286,6.038692,3.892713,STAR,WD
11.82113,12.52148,9.06825,6.353498,4.201087,STAR,WD
12.46147,11.10904,8.319025,6.367233,6.265606,STAR,L5.5
10.90717,11.15675,8.459066,6.22458,4.001966,STAR,OB
12.82173,17.11644,15.25383,12.66786,13.25159,STAR,WD
8.614577,11.73649,10.081,9.051753,3.987286,STAR,WD
5.221941,7.293185,5.983415,4.346016,2.881968,STAR,WD
24.95224,24.4026,18.60249,15.24384,13.35293,STAR,WD
11.89258,16.97424,16.5859,16.18489,17.2948,STAR,WD
55.86665,51.43494,36.91555,26.94548,19.76311,STAR,WD
6.865071,6.109812,4.268145,2.964789,1.414406,STAR,WD
58.87246,48.01412,34.84354,27.66314,22.63185,STAR,WD
36.4986,28.10933,17.88234,13.43088,12.16959,STAR,B9
14.0187,18.39953,15.28239,12.25589,10.76964,STAR,WD
16.35726,21.44464,17.60286,14.21795,11.6277,STAR,WD
8.335728,9.264778,9.145961,8.134699,6.334211,STAR,WD
9.168795,12.53772,14.35667,14.32628,14.46604,STAR,WD
9.852225,9.147474,7.209998,5.69038,4.491898,STAR,WD
71.21703,64.35503,45.36387,34.27999,24.76122,STAR,OB
6.788972,6.401531,4.697577,3.283705,1.344687,STAR,WD
27.17278,38.88493,34.73843,30.13815,25.07287,STAR,WD
8.614299,9.631609,7.924304,6.726099,5.68017,STAR,WD
7.279985,7.952114,6.172055,4.982026,3.806794,STAR,WD
11.26113,10.87389,7.643334,5.173398,2.857575,STAR,WD
15.95986,12.35959,8.028329,5.817142,6.039879,STAR,O
6.147184,7.782933,6.388022,5.248704,4.406022,STAR,WD
14.84233,18.94959,15.74453,13.01802,10.8941,STAR,WD
39.74926,34.37154,24.93716,18.28919,11.73231,STAR,OB
89.38633,93.96727,81.02373,69.02022,57.09101,STAR,OB
19.04275,19.03995,13.39159,10.39505,9.525976,STAR,WD
28.22424,34.14765,26.89416,21.47873,17.70619,STAR,WD
9.37818,9.329241,9.076123,8.619557,8.97447,STAR,WD
20.05217,20.2271,20.63893,19.6191,18.13114,STAR,CV
3.483919,4.638815,4.427031,3.407446,2.022987,STAR,WD
7.223441,8.809581,6.857729,4.639984,2.923689,STAR,WD
138.4237,111.6934,78.52521,60.96855,46.04575,STAR,B9
178.4745,176.492,139.6364,113.27,96.43702,STAR,WD
232.5556,177.1053,133.1412,107.5529,88.60944,STAR,O
16.94506,23.37251,19.43865,15.41744,12.81108,STAR,WD
32.90762,35.17785,27.13135,22.37666,22.09597,STAR,OB
26.43787,32.56305,24.57472,18.88456,15.75736,STAR,WD
7.421115,57.21297,158.6813,231.2794,283.2954,STAR,K5
8.358367,10.44468,8.12635,5.993938,4.55835,STAR,WD
60.37016,75.40353,62.78233,52.93623,44.95247,STAR,WD
31.52176,40.38672,32.14778,26.24566,21.82556,STAR,WD
22.24165,24.87713,19.59105,13.94433,8.009971,STAR,OB
17.40961,19.78684,14.63148,11.24921,8.793085,STAR,WD
10.03321,9.073875,5.923884,4.731384,3.612046,STAR,WD
18.42852,16.53686,11.60754,9.235662,6.864274,STAR,A0p
11.39058,11.6956,6.940516,5.250916,0.02314924,STAR,WD
18.71939,19.09455,14.69769,11.80245,11.32956,STAR,OB
3.65373,20.77982,52.55625,71.11412,82.68141,STAR,K5
36.46794,26.26885,17.46634,12.85838,10.89704,STAR,B9
51.78928,45.91716,37.10499,30.87321,27.92278,STAR,OB
17.57737,17.7327,16.39306,14.39248,12.85386,STAR,CV
13.68462,17.32764,13.74325,10.76926,10.26413,STAR,WD
253.2345,249.8577,171.984,129.0519,101.6016,STAR,WD
12.23907,15.39899,11.53608,8.779088,6.836312,STAR,WD
66.55901,61.96133,41.60678,30.60649,24.06376,STAR,WD
36.98351,32.76247,23.3596,18.42966,16.3795,STAR,OB
150.5055,118.1618,76.62588,60.27982,61.46357,STAR,WD
97.28098,80.19022,52.05865,38.27788,29.80821,STAR,B6
7.562568,7.920538,5.639041,4.331293,3.505714,STAR,WD
337.0482,285.6094,199.0736,154.9552,136.2012,STAR,B6
15.69386,21.6303,28.21705,31.10128,33.4574,STAR,A0
127.1728,102.3885,71.90005,53.80402,44.78719,STAR,B9
24.33522,15.82005,9.605891,7.294543,4.299077,STAR,O
9.610749,26.00714,47.47531,59.11001,64.36103,STAR,F9
36.8582,393.2751,1154.19,1543.401,1681.574,STAR,K5
58.40865,166.299,265.4362,300.4338,306.8441,STAR,F9
14.83381,20.42553,17.16195,13.72866,11.33034,STAR,WD
8.688762,16.41282,24.01379,26.90715,27.48262,STAR,F2
17.89111,16.02862,11.29842,7.782161,5.768366,STAR,WD
17.82119,23.18451,18.81211,15.25608,12.03398,STAR,WD
47.88039,59.87646,48.03818,39.01395,32.24388,STAR,WD
181.5285,143.8828,107.3406,92.4341,83.54114,STAR,B9
18.84077,22.32244,19.36273,17.33936,14.95399,STAR,WD
48.17027,42.52618,34.03572,29.44206,25.44365,STAR,OB
12.57683,19.34698,17.47927,13.92225,10.23654,STAR,WD
21.00071,28.82874,23.25141,18.32617,14.80189,STAR,WD
13.06587,16.72219,12.98044,9.780327,7.436205,STAR,WD
23.535,29.24742,34.95541,37.03152,37.08935,STAR,CV
11.63364,15.6386,13.55025,10.33972,7.71629,STAR,WD
2.065686,3.600977,3.147146,2.59827,2.037498,STAR,WD
9.364685,14.5855,12.78747,10.90246,8.766386,STAR,WD
24.90162,37.30703,31.36253,25.10798,19.57545,STAR,WD
22.30686,26.46553,20.56168,15.89693,12.92349,STAR,WD
17.63003,21.07209,17.03323,13.45197,9.648805,STAR,WD
538.8237,424.0127,287.4391,206.7405,148.4251,STAR,O
18.46259,25.41348,20.9513,17.29532,13.72448,STAR,WD
2.606615,12.58544,29.38413,40.5891,46.41764,STAR,K3
7.462067,17.62331,29.60465,37.42117,39.39148,STAR,F9
8.941671,10.46607,8.182932,6.554713,5.860315,STAR,WD
11.04538,9.929397,8.515513,7.039972,6.412641,STAR,OB
68.07008,55.1832,36.06762,25.37713,20.38469,STAR,B9
52.66096,42.83495,28.73681,19.18251,15.03402,STAR,WD
30.81956,28.69854,22.21674,18.42769,15.96278,STAR,WD
11.48919,16.35087,22.04407,23.95502,23.73996,STAR,CV
18.49847,19.22055,16.02621,13.11281,11.69386,STAR,OB
206.7568,202.0798,153.5647,124.0811,107.6514,STAR,A0p
12.67068,16.74197,15.76483,14.7171,14.44469,STAR,WD
16.61872,19.9563,15.97278,13.28666,10.8962,STAR,WD
17.38624,15.37875,11.42762,8.668778,6.35899,STAR,OB
13.00698,18.77948,16.2213,13.5137,10.72816,STAR,WD
40.20827,33.93609,24.09563,18.71887,16.36485,STAR,WD
1458.756,1096.885,679.8506,489.7777,384.7675,STAR,WD
16.70403,23.19663,18.74627,15.07145,11.37778,STAR,WD
78.46011,73.6666,57.9647,47.58223,42.15836,STAR,A0p
57.1198,39.79673,23.69994,15.75146,10.59448,STAR,O
20.18425,19.02176,14.4643,12.56903,14.40442,STAR,WD
15.58309,14.47087,13.02866,10.58712,9.485847,STAR,OB
12.59795,11.76381,8.677775,7.058299,5.439166,STAR,OB
15.0637,16.3236,11.52091,7.197477,3.45325,STAR,WD
18.12328,14.4154,9.378036,5.527916,1.725089,STAR,WD
11.38504,14.37587,16.47112,16.54937,15.61078,STAR,CV
1.638508,7.062946,16.7697,23.25325,28.526,STAR,G5
2.358344,10.00623,25.6858,36.30202,44.24314,STAR,K5
13.11596,83.66882,216.7348,301.8564,355.506,STAR,K5
67.09999,114.1426,161.4538,186.6239,194.6889,STAR,F5
14.61729,21.15002,28.83705,32.93999,33.13632,STAR,F5
107.6233,286.0578,490.1759,597.0229,649.3312,STAR,F9
30.01225,40.44678,33.72151,26.92336,21.08673,STAR,WD
66.92265,62.05973,53.0884,45.30685,38.70798,STAR,OB
17.98329,18.9142,15.36996,12.78779,11.27879,STAR,WD
7.466872,10.48348,8.848189,6.488047,4.992379,STAR,WD
5.632575,6.244761,4.681494,3.256825,3.709423,STAR,WD
9.477506,7.636489,4.783248,3.37201,1.647693,STAR,WD
35.83906,31.07134,21.93302,16.27085,8.832435,STAR,OB
18.33289,16.80192,15.43123,18.80383,23.70035,STAR,M4
12.1556,17.54132,14.34605,11.16027,9.916695,STAR,WD
22.65807,24.13267,20.50694,17.07022,14.31459,STAR,WD
6.545968,7.592401,5.718384,4.291002,2.873786,STAR,WD
19.82983,18.06158,12.64698,9.507741,8.356885,STAR,B6
26.2157,162.6165,404.1956,541.4327,623.7662,STAR,K5
19.82831,24.49665,29.35864,32.04281,33.17906,STAR,F5
5.113314,32.37304,98.50911,147.4868,179.906,STAR,K5
13.18585,14.55916,16.0924,16.3405,16.46247,STAR,B6
23.30464,29.46551,35.79461,41.3605,48.18346,STAR,CV
78.34084,74.10302,55.78403,51.24821,59.44408,STAR,OB
8.7719,10.9841,8.66307,7.045195,5.777946,STAR,WD
1527.006,1222.29,875.2755,760.2164,707.1304,STAR,B9
83.13357,90.45821,70.78621,52.86,37.55275,STAR,OB
19.67904,14.58282,9.244247,6.864998,5.989039,STAR,WD
16.5816,16.73305,14.82499,13.45772,11.46924,STAR,L5
20.18063,15.56164,9.898944,7.243227,5.423606,STAR,B9
13.46182,16.79107,13.08937,10.47752,8.288415,STAR,WD
24.59089,35.07229,29.05948,23.65463,18.22334,STAR,WD
19.63986,18.00681,16.42513,14.79288,14.59708,STAR,B9
11.26712,16.15129,21.35437,23.05911,24.13032,STAR,CV
20.37806,17.18879,15.10547,13.01436,11.4909,STAR,O
1.377431,3.306576,7.567933,10.89911,15.09076,STAR,K1
12.98819,13.7202,13.69804,12.52262,11.66513,STAR,A0
15.25681,20.18719,16.74388,13.52194,10.34981,STAR,WD
13.41377,15.4092,11.4516,8.83042,6.164887,STAR,WD
17.28201,21.55729,17.51003,14.35335,13.93747,STAR,WD
27.19751,34.51986,28.74156,27.43021,26.71141,STAR,WD
7.012638,7.485307,5.403001,4.005928,2.954745,STAR,WD
5.886067,7.555314,6.186668,5.577215,5.389059,STAR,WD
5.688047,6.113464,3.741977,1.534499,-0.3757502,STAR,WD
5.417553,6.950409,4.648971,2.766695,0.6865942,STAR,WD
6.199467,6.810555,5.635298,4.700312,3.699036,STAR,WD
23.07213,16.85004,10.57432,7.976528,6.196782,STAR,WD
9.911289,11.79386,9.05055,6.800925,4.900175,STAR,WD
17.87272,16.54425,13.03529,10.63911,10.24002,STAR,OB
493.5369,430.3156,314.5657,252.2562,217.4188,STAR,A0p
11.52435,15.19538,12.83035,10.59484,8.338417,STAR,WD
30.2387,28.50983,21.34719,15.58366,8.295585,STAR,OB
16.84366,22.49471,19.81536,16.86701,14.39814,STAR,WD
10.85604,12.49292,9.51977,7.396003,5.908975,STAR,WD
12.29732,15.01582,12.18582,9.524047,8.172658,STAR,WD
58.70224,70.13056,75.29993,77.12716,87.34196,STAR,WD
6.890707,8.229039,6.698005,5.544747,6.049206,STAR,WD
7.904704,9.403603,6.98059,5.151103,3.869574,STAR,WD
9.207854,9.348142,7.354395,5.981762,5.674877,STAR,WD
22.59307,23.37071,16.36449,12.76825,10.45083,STAR,OB
9.580872,11.09484,8.494818,6.716761,5.892603,STAR,WD
92.86102,72.18417,47.76714,35.76145,26.98797,STAR,B9
37.33058,36.48294,33.13059,29.778,26.4264,STAR,B9
22.06458,24.89279,29.38601,30.9317,31.41028,STAR,CV
60.34247,71.29343,52.25051,38.51053,25.60756,STAR,WD
17.33191,19.02532,13.692,9.58938,6.682801,STAR,WD
14.5031,16.18435,12.54056,9.904613,8.211564,STAR,WD
93.12937,75.13245,49.99389,41.12901,39.66502,STAR,WD
14.16856,17.84039,14.84387,11.83026,9.383087,STAR,WD
13.79834,20.55101,18.1299,15.28575,14.43473,STAR,WD
67.93314,80.26611,66.35842,55.72306,50.85155,STAR,A0
12.93926,15.85456,21.40489,23.57513,22.0665,STAR,CV
16.76699,26.46288,22.56997,18.89614,16.49117,STAR,WD
34.21193,226.5195,567.9606,761.4797,883.4297,STAR,K5
1.360666,4.80189,13.73828,20.20505,25.89088,STAR,K5
15.59008,14.31577,10.22193,8.130112,6.47168,STAR,WD
4.802785,6.513397,5.659372,4.437571,3.162863,STAR,WD
646.8723,554.5939,371.8874,274.0863,215.0516,STAR,B6
13.03552,12.02848,8.833097,6.794805,5.548167,STAR,A0p
28.42122,19.40776,11.02703,7.234661,4.942102,STAR,L5.5
16.20753,19.26859,14.04169,10.73656,9.730245,STAR,WD
26.13143,35.41997,31.14316,25.61359,20.85142,STAR,WD
53.29811,74.76587,86.07225,83.1072,79.31617,STAR,A0
111.4121,122.511,109.605,87.8461,70.81304,STAR,B6
147.8051,144.4854,112.0851,89.15746,76.95297,STAR,A0p
79.66535,72.37035,47.25373,33.0624,23.9105,STAR,WD
270.7042,205.7959,134.1629,98.67138,77.512,STAR,WD
107.7314,90.16119,57.42363,41.39594,33.93438,STAR,A0p
13.16598,16.11326,12.3848,8.789132,7.292655,STAR,WD
83.32439,83.50304,72.03143,61.29676,47.35982,STAR,OB
